Strike;1m;2m;3m;6m;1y;2y;3y
50;78.43743742;64.2885998;58.15868319;49.47893919;41.95106001;35.61447938;32.25324695
60;63.76293758;53.2709384;48.23403409;41.87768123;36.52253945;31.97295622;29.37866992
70;49.38090592;42.68278747;39.21527661;35.20325222;31.93959252;28.89531529;26.93788785
80;36.83094653;32.6931202;31.11051;29.34716007;27.85843255;26.03160256;24.66763266
90;24.72936879;23.74885317;23.76239648;23.87346094;23.85145479;23.2614601;22.51024722
100;13.38652744;14.70612605;15.87792453;17.92836841;19.61097053;20.44998595;20.40526781
110;12.51606143;12.0265762;12.17175065;13.62371487;15.79175219;17.86559881;18.54249251
120;17.48028166;16.39196784;14.03809441;13.23679868;14.09163057;15.98567545;16.96023822
130;22.32714603;22.0446109;17.94340098;14.55959359;14.08782971;15.12973543;15.84934633
140;26.81139352;27.36500461;22.24819973;16.85527286;14.88448887;15.0530568;15.33224555
150;32.29975971;32.17176825;26.15777059;19.55143949;15.91320899;15.38955057;15.46532936
160;37.40139576;36.54356479;29.7179481;22.12970345;16.85123784;16.06218454;16.28386718
170;42.14802401;40.54320795;32.98011098;24.55654293;17.87701157;16.9623231;17.41885812
180;46.57261499;44.21787419;35.98302163;26.8312974;19.12875266;17.9448135;18.58105162
190;50.76819393;36.22622114;29.63898412;28.95760616;20.50835298;18.89908238;19.67433538
200;54.76199896;38.71872346;31.60929816;30.94807172;21.88345106;19.78497587;20.6852981
210;58.57138874;43.17914288;35.05098595;32.8161749;23.19290505;20.5830221;21.61774312
220;62.21098459;45.94743868;37.07503971;34.57375233;24.43142941;21.3002884;22.47674415
230;65.69297272;47.569558;38.17292164;36.23252573;25.60392748;21.95063431;23.26733321
240;69.02953933;48.591448;38.83609389;37.80401684;26.71530258;22.54791937;23.99454233
250;72.23287063;49.55905584;39.55601867;39.29979737;27.77045804;23.10600314;24.66340352
